ITTER107,Region,Age,Males_value,Females_value,Population_value
ITD3,Veneto,64,28934,30317,59251
ITD3,Veneto,65,27890,29259,57149
ITD3,Veneto,66,27126,28959,56085
ITD3,Veneto,67,26782,28328,55110
ITD3,Veneto,68,27350,29971,57321
ITD3,Veneto,69,27117,29252,56369
ITD3,Veneto,70,27475,30236,57711
ITD3,Veneto,71,26601,29482,56083
ITD3,Veneto,72,28582,31790,60372
ITD3,Veneto,73,19026,22014,41040
ITD3,Veneto,74,21915,25198,47113
ITD3,Veneto,75,21745,25830,47575
ITD3,Veneto,76,20621,25000,45621
ITD3,Veneto,77,20258,24473,44731
ITD3,Veneto,78,20720,25841,46561
ITD3,Veneto,79,19951,24688,44639
ITD3,Veneto,80,18068,23936,42004
ITD3,Veneto,81,15684,21474,37158
ITD3,Veneto,82,13552,19823,33375
ITD3,Veneto,83,13118,19381,32499
ITD3,Veneto,84,11715,18179,29894
ITD3,Veneto,85,9771,16089,25860
ITD3,Veneto,86,8494,15509,24003
ITD3,Veneto,87,7358,14187,21545
ITD3,Veneto,88,6540,13709,20249
ITD3,Veneto,89,5069,11154,16223
ITD3,Veneto,90,4069,10224,14293
ITD3,Veneto,91,3333,8971,12304
ITD3,Veneto,92,2454,7219,9673
ITD3,Veneto,93,1842,5917,7759
ITD3,Veneto,94,1319,4555,5874
ITD3,Veneto,95,1037,3721,4758
ITD3,Veneto,96,637,2688,3325
ITD3,Veneto,97,407,1934,2341
ITD3,Veneto,98,253,1328,1581
ITD3,Veneto,99,112,593,705
ITD3,Veneto,100 and over,125,951,1076
ITD3,Veneto,Total,2390898,2493692,4884590
ITD4,Friuli-Venezia Giulia,0,3997,3772,7769
ITD4,Friuli-Venezia Giulia,1,4165,4012,8177
ITD4,Friuli-Venezia Giulia,2,4404,4172,8576
ITD4,Friuli-Venezia Giulia,3,4418,4259,8677
ITD4,Friuli-Venezia Giulia,4,4786,4427,9213
ITD4,Friuli-Venezia Giulia,5,4851,4564,9415
ITD4,Friuli-Venezia Giulia,6,5010,4806,9816
ITD4,Friuli-Venezia Giulia,7,5227,4759,9986
ITD4,Friuli-Venezia Giulia,8,5341,5077,10418
ITD4,Friuli-Venezia Giulia,9,5375,5159,10534
ITD4,Friuli-Venezia Giulia,10,5441,5062,10503
ITD4,Friuli-Venezia Giulia,11,5448,5266,10714
ITD4,Friuli-Venezia Giulia,12,5424,5246,10670
ITD4,Friuli-Venezia Giulia,13,5435,5031,10466
ITD4,Friuli-Venezia Giulia,14,5340,5199,10539
ITD4,Friuli-Venezia Giulia,15,5465,5022,10487
ITD4,Friuli-Venezia Giulia,16,5329,5013,10342
ITD4,Friuli-Venezia Giulia,17,5474,5002,10476
ITD4,Friuli-Venezia Giulia,18,5588,5233,10821
ITD4,Friuli-Venezia Giulia,19,5508,4991,10499
ITD4,Friuli-Venezia Giulia,20,5584,5025,10609
ITD4,Friuli-Venezia Giulia,21,5518,4928,10446
ITD4,Friuli-Venezia Giulia,22,5727,5050,10777
ITD4,Friuli-Venezia Giulia,23,5522,4956,10478
ITD4,Friuli-Venezia Giulia,24,5530,4990,10520
ITD4,Friuli-Venezia Giulia,25,5616,5057,10673
ITD4,Friuli-Venezia Giulia,26,5919,5445,11364
ITD4,Friuli-Venezia Giulia,27,5865,5600,11465
ITD4,Friuli-Venezia Giulia,28,5978,5618,11596
ITD4,Friuli-Venezia Giulia,29,6005,5677,11682
ITD4,Friuli-Venezia Giulia,30,6096,5868,11964
ITD4,Friuli-Venezia Giulia,31,5762,5696,11458
ITD4,Friuli-Venezia Giulia,32,6049,5805,11854
ITD4,Friuli-Venezia Giulia,33,6253,6122,12375
ITD4,Friuli-Venezia Giulia,34,6480,6118,12598
ITD4,Friuli-Venezia Giulia,35,6492,6110,12602
ITD4,Friuli-Venezia Giulia,36,6851,6531,13382
