ITTER107,Region,Age,Males_value,Females_value,Population_value
ITD3,Veneto,37,27887,28248,56135
ITD3,Veneto,38,28710,28546,57256
ITD3,Veneto,39,29856,28982,58838
ITD3,Veneto,40,30813,30528,61341
ITD3,Veneto,41,32922,32667,65589
ITD3,Veneto,42,33956,34078,68034
ITD3,Veneto,43,35831,35318,71149
ITD3,Veneto,44,37726,37068,74794
ITD3,Veneto,45,40012,39518,79530
ITD3,Veneto,46,39797,39192,78989
ITD3,Veneto,47,40703,39475,80178
ITD3,Veneto,48,40805,40398,81203
ITD3,Veneto,49,40992,40253,81245
ITD3,Veneto,50,42016,41333,83349
ITD3,Veneto,51,41273,41125,82398
ITD3,Veneto,52,41738,41276,83014
ITD3,Veneto,53,41925,41728,83653
ITD3,Veneto,54,41950,41685,83635
ITD3,Veneto,55,41863,42439,84302
ITD3,Veneto,56,39258,39684,78942
ITD3,Veneto,57,37709,38171,75880
ITD3,Veneto,58,36719,37491,74210
ITD3,Veneto,59,34573,35504,70077
ITD3,Veneto,60,34284,35243,69527
ITD3,Veneto,61,31863,33240,65103
ITD3,Veneto,62,31178,32416,63594
ITD3,Veneto,63,30267,32075,62342
ITD3,Veneto,64,29026,30934,59960
ITD3,Veneto,65,28673,30203,58876
ITD3,Veneto,66,27638,29141,56779
ITD3,Veneto,67,26815,28797,55612
ITD3,Veneto,68,26490,28180,54670
ITD3,Veneto,69,27004,29743,56747
ITD3,Veneto,70,26692,29001,55693
ITD3,Veneto,71,27070,30012,57082
ITD3,Veneto,72,26107,29235,55342
ITD3,Veneto,73,28001,31501,59502
ITD3,Veneto,74,18631,21794,40425
ITD3,Veneto,75,21355,24904,46259
ITD3,Veneto,76,21191,25451,46642
ITD3,Veneto,77,20078,24566,44644
ITD3,Veneto,78,19588,24041,43629
ITD3,Veneto,79,19956,25269,45225
ITD3,Veneto,80,19152,24113,43265
ITD3,Veneto,81,17182,23239,40421
ITD3,Veneto,82,14865,20744,35609
ITD3,Veneto,83,12690,19020,31710
ITD3,Veneto,84,12205,18519,30724
ITD3,Veneto,85,10761,17252,28013
ITD3,Veneto,86,8864,15053,23917
ITD3,Veneto,87,7593,14363,21956
ITD3,Veneto,88,6484,12947,19431
ITD3,Veneto,89,5643,12341,17984
ITD3,Veneto,90,4297,9879,14176
ITD3,Veneto,91,3334,8949,12283
ITD3,Veneto,92,2680,7639,10319
ITD3,Veneto,93,1940,5993,7933
ITD3,Veneto,94,1421,4847,6268
ITD3,Veneto,95,984,3644,4628
ITD3,Veneto,96,742,2875,3617
ITD3,Veneto,97,441,1971,2412
ITD3,Veneto,98,277,1387,1664
ITD3,Veneto,99,157,911,1068
ITD3,Veneto,100 and over,157,985,1142
ITD3,Veneto,Total,2389717,2489416,4879133
ITD4,Friuli-Venezia Giulia,0,3820,3630,7450
ITD4,Friuli-Venezia Giulia,1,4003,3799,7802
ITD4,Friuli-Venezia Giulia,2,4206,4023,8229
ITD4,Friuli-Venezia Giulia,3,4430,4185,8615
ITD4,Friuli-Venezia Giulia,4,4441,4274,8715
ITD4,Friuli-Venezia Giulia,5,4790,4453,9243
ITD4,Friuli-Venezia Giulia,6,4862,4564,9426
ITD4,Friuli-Venezia Giulia,7,5028,4816,9844
ITD4,Friuli-Venezia Giulia,8,5250,4771,10021
ITD4,Friuli-Venezia Giulia,9,5352,5058,10410
ITD4,Friuli-Venezia Giulia,10,5391,5159,10550
ITD4,Friuli-Venezia Giulia,11,5449,5085,10534
ITD4,Friuli-Venezia Giulia,12,5453,5281,10734
ITD4,Friuli-Venezia Giulia,13,5426,5264,10690
ITD4,Friuli-Venezia Giulia,14,5455,5056,10511
ITD4,Friuli-Venezia Giulia,15,5359,5221,10580
ITD4,Friuli-Venezia Giulia,16,5469,5048,10517
ITD4,Friuli-Venezia Giulia,17,5362,5022,10384
ITD4,Friuli-Venezia Giulia,18,5565,5021,10586
ITD4,Friuli-Venezia Giulia,19,5672,5272,10944
ITD4,Friuli-Venezia Giulia,20,5548,5038,10586
ITD4,Friuli-Venezia Giulia,21,5659,5062,10721
ITD4,Friuli-Venezia Giulia,22,5556,5020,10576
ITD4,Friuli-Venezia Giulia,23,5759,5115,10874
ITD4,Friuli-Venezia Giulia,24,5565,5002,10567
ITD4,Friuli-Venezia Giulia,25,5547,5045,10592
ITD4,Friuli-Venezia Giulia,26,5664,5097,10761
ITD4,Friuli-Venezia Giulia,27,5928,5487,11415
ITD4,Friuli-Venezia Giulia,28,5934,5627,11561
ITD4,Friuli-Venezia Giulia,29,6037,5661,11698
ITD4,Friuli-Venezia Giulia,30,6011,5690,11701
ITD4,Friuli-Venezia Giulia,31,6117,5893,12010
ITD4,Friuli-Venezia Giulia,32,5808,5729,11537
ITD4,Friuli-Venezia Giulia,33,6026,5830,11856
ITD4,Friuli-Venezia Giulia,34,6244,6150,12394
ITD4,Friuli-Venezia Giulia,35,6465,6133,12598
ITD4,Friuli-Venezia Giulia,36,6496,6154,12650
ITD4,Friuli-Venezia Giulia,37,6818,6568,13386
ITD4,Friuli-Venezia Giulia,38,6922,6567,13489
ITD4,Friuli-Venezia Giulia,39,7196,6812,14008
ITD4,Friuli-Venezia Giulia,40,7400,6991,14391
ITD4,Friuli-Venezia Giulia,41,8029,7635,15664
ITD4,Friuli-Venezia Giulia,42,8097,7818,15915
ITD4,Friuli-Venezia Giulia,43,8442,8432,16874
ITD4,Friuli-Venezia Giulia,44,9003,8868,17871
ITD4,Friuli-Venezia Giulia,45,9739,9581,19320
ITD4,Friuli-Venezia Giulia,46,9509,9624,19133
ITD4,Friuli-Venezia Giulia,47,9896,9842,19738
ITD4,Friuli-Venezia Giulia,48,9871,9911,19782
ITD4,Friuli-Venezia Giulia,49,9859,10130,19989
